model,dataset,seed,variant,split,run_id,log_path,hparams,HR@10,HR@20,HR@5,HR@50,NDCG@10,NDCG@20,NDCG@5,NDCG@50
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,0,pos1_time1_latent1_ssffn1,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__1e9ed8cf82,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__1e9ed8cf82.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=1;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4615,0.5865,0.3532,0.8025,0.2829,0.3143,0.2478,0.3571
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,0,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__77ad9d98c8,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__77ad9d98c8.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5052,0.6283,0.3955,0.8273,0.3191,0.3501,0.2837,0.3895
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,0,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__77ad9d98c8,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__77ad9d98c8.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4648,0.5949,0.3531,0.8007,0.2838,0.3166,0.2477,0.3575
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,1,pos0_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__9795b1a150,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__9795b1a150.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=0;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5079,0.6275,0.4013,0.8288,0.3214,0.3515,0.2869,0.3915
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,1,pos0_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__9795b1a150,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__9795b1a150.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=0;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4614,0.5871,0.356,0.8042,0.2834,0.3151,0.2494,0.3581
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,1,pos1_time0_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__1aa670cd28,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__1aa670cd28.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=0;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5062,0.6249,0.3951,0.826,0.3161,0.3459,0.2801,0.3858
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,1,pos1_time0_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__1aa670cd28,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__1aa670cd28.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=0;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4611,0.5869,0.3483,0.8034,0.2757,0.3074,0.2392,0.3503
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,1,pos1_time1_latent1_ssffn1,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__40d7e3f864,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__40d7e3f864.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=1;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5107,0.6342,0.4065,0.8331,0.3317,0.3628,0.2981,0.4022
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,1,pos1_time1_latent1_ssffn1,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__40d7e3f864,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__40d7e3f864.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=1;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4733,0.6001,0.37,0.811,0.2964,0.3282,0.2629,0.3699
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,1,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__4e91eba1d6,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__4e91eba1d6.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5095,0.6319,0.4047,0.8347,0.3283,0.3591,0.2944,0.3994
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,1,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__4e91eba1d6,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__4e91eba1d6.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4745,0.5948,0.3673,0.8098,0.2953,0.3256,0.2606,0.3682
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,2,pos0_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__ee9cee910e,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__ee9cee910e.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=0;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4964,0.6151,0.3913,0.814,0.3092,0.3392,0.2751,0.3785
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,2,pos0_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__ee9cee910e,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__ee9cee910e.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=0;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4525,0.574,0.3462,0.7915,0.2722,0.3028,0.2378,0.3458
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,2,pos1_time0_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__278b72ba2b,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__278b72ba2b.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=0;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4968,0.6148,0.386,0.8184,0.3094,0.3392,0.2735,0.3795
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,2,pos1_time0_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__278b72ba2b,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__278b72ba2b.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=0;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4586,0.5818,0.3469,0.7927,0.2748,0.3057,0.2385,0.3474
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,2,pos1_time1_latent1_ssffn1,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__112dd8339c,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__112dd8339c.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=1;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5082,0.6256,0.4062,0.8222,0.3271,0.3568,0.2942,0.3957
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,2,pos1_time1_latent1_ssffn1,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__112dd8339c,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__112dd8339c.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=1;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4684,0.5875,0.3581,0.7963,0.2887,0.3188,0.2529,0.36
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,2,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__c343e6d002,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__c343e6d002.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5066,0.6314,0.393,0.8255,0.3149,0.3462,0.278,0.3845
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,2,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__c343e6d002,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__c343e6d002.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.468,0.5861,0.358,0.7984,0.2796,0.3094,0.244,0.3515
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,0,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___93b405dc9c,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___93b405dc9c.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.5052,0.6283,0.3955,,0.3191,0.3501,0.2837,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,0,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___93b405dc9c,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___93b405dc9c.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.4648,0.5949,0.3531,,0.2838,0.3166,0.2477,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,1,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__1__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___f8a3ae157c,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__1__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___f8a3ae157c.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.5095,0.6319,0.4047,,0.3283,0.3591,0.2944,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,1,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__1__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___f8a3ae157c,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__1__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___f8a3ae157c.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.4745,0.5948,0.3673,,0.2953,0.3256,0.2606,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,2,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__2__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___8271ce0b5f,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__2__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___8271ce0b5f.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.5066,0.6314,0.393,,0.3149,0.3462,0.278,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,2,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__2__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___8271ce0b5f,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp__2__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1___8271ce0b5f.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.468,0.5861,0.358,,0.2796,0.3094,0.244,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2,0,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.0005__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_lat__1a9cd23b4f,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.0005__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_lat__1a9cd23b4f.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.0005;num_heads=4;num_layers=1,0.4971,0.6143,0.3904,,0.31,0.3395,0.2755,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2,0,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.0005__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_lat__1a9cd23b4f,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.0005__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_lat__1a9cd23b4f.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.0005;num_heads=4;num_layers=1,0.4591,0.5807,0.3488,,0.2751,0.3057,0.2393,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2,0,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.0005__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_lat__34b8c88391,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.0005__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_lat__34b8c88391.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.0005;num_heads=4;num_layers=1,0.4923,0.6113,0.3896,,0.3152,0.345,0.2819,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2,0,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.0005__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_lat__34b8c88391,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.0005__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_lat__34b8c88391.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.0005;num_heads=4;num_layers=1,0.444,0.5677,0.3401,,0.2723,0.3034,0.2387,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2,0,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_late__1d7c406950,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_late__1d7c406950.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.5052,0.6283,0.3955,,0.3191,0.3501,0.2837,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2,0,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_late__1d7c406950,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_late__1d7c406950.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.4648,0.5949,0.3531,,0.2838,0.3166,0.2477,
