model,dataset,seed,variant,split,run_id,log_path,hparams,HR@10,HR@20,HR@5,HR@50,NDCG@10,NDCG@20,NDCG@5,NDCG@50
FuXiAlpha,MovieLens_1M_ep50_abla,1,pos1_time1_latent1_ssffn0_noams,dev,FuXiAlpha__MovieLens_1M_ep50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi__1c7fca7593,log\FuXiAlpha\FuXiAlpha__MovieLens_1M_ep50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi__1c7fca7593.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_ams=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.8101,0.9035,0.6942,0.9806,0.5627,0.5866,0.525,0.6021
FuXiAlpha,MovieLens_1M_ep50_abla,1,pos1_time1_latent1_ssffn0_noams,test,FuXiAlpha__MovieLens_1M_ep50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi__1c7fca7593,log\FuXiAlpha\FuXiAlpha__MovieLens_1M_ep50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi__1c7fca7593.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_ams=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.7804,0.8817,0.6571,0.9715,0.5332,0.559,0.4932,0.5771
FuXiAlpha,MovieLens_1M_ep50_abla,2,pos1_time1_latent1_ssffn0_noams,dev,FuXiAlpha__MovieLens_1M_ep50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi__6f3149f790,log\FuXiAlpha\FuXiAlpha__MovieLens_1M_ep50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi__6f3149f790.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_ams=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.8137,0.9052,0.6962,0.9783,0.5688,0.592,0.5307,0.6068
FuXiAlpha,MovieLens_1M_ep50_abla,2,pos1_time1_latent1_ssffn0_noams,test,FuXiAlpha__MovieLens_1M_ep50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi__6f3149f790,log\FuXiAlpha\FuXiAlpha__MovieLens_1M_ep50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi__6f3149f790.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_ams=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.7852,0.8822,0.6584,0.9705,0.54,0.5647,0.4987,0.5825
proto_ML1M_full,seed0,,default,dev,proto_ML1M_full__seed0,log\FuXiAlpha\proto_ML1M_full__seed0.txt,,0.0525,0.0955,0.0302,0.1894,0.0253,0.0361,0.0181,0.0546
proto_ML1M_full,seed0,,default,test,proto_ML1M_full__seed0,log\FuXiAlpha\proto_ML1M_full__seed0.txt,,0.0477,0.0885,0.0262,0.1792,0.0227,0.0329,0.0158,0.0507
proto_ML1M_samp,seed0,,default,dev,proto_ML1M_samp__seed0,log\FuXiAlpha\proto_ML1M_samp__seed0.txt,,0.5507,0.7391,0.3702,0.943,0.3043,0.3518,0.2459,0.393
proto_ML1M_samp,seed0,,default,test,proto_ML1M_samp__seed0,log\FuXiAlpha\proto_ML1M_samp__seed0.txt,,0.5214,0.708,0.3552,0.9289,0.2892,0.3362,0.2355,0.3805
GRU4Rec,Grocery_and_Gourmet_Food,0,default,dev,GRU4Rec__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__hidden_size=64,log\GRU4Rec\GRU4Rec__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__hidden_size=64.txt,emb_size=64;hidden_size=64;l2=0;lr=0.001,0.3826,0.5299,0.2429,0.7273,0.2015,0.2389,0.1566,0.278
GRU4Rec,Grocery_and_Gourmet_Food,0,default,test,GRU4Rec__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__hidden_size=64,log\GRU4Rec\GRU4Rec__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__hidden_size=64.txt,emb_size=64;hidden_size=64;l2=0;lr=0.001,0.3408,0.4829,0.2054,0.6843,0.1728,0.209,0.1292,0.2487
GRU4Rec,MovieLens_1M,0,default,dev,GRU4Rec__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__hidden_size=64,log\GRU4Rec\GRU4Rec__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__hidden_size=64.txt,emb_size=64;hidden_size=64;l2=0;lr=0.001,0.5491,0.7428,0.3714,0.9465,0.3028,0.3519,0.2455,0.3929
GRU4Rec,MovieLens_1M,0,default,test,GRU4Rec__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__hidden_size=64,log\GRU4Rec\GRU4Rec__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__hidden_size=64.txt,emb_size=64;hidden_size=64;l2=0;lr=0.001,0.5247,0.7141,0.3578,0.9277,0.2877,0.3356,0.234,0.3784
SASRec,Grocery_and_Gourmet_Food,0,default,dev,SASRec__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4,log\SASRec\SASRec__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4.txt,emb_size=64;l2=0;lr=0.001;num_heads=4;num_layers=1,0.4512,0.5624,0.3343,0.7483,0.263,0.291,0.2249,0.3276
SASRec,Grocery_and_Gourmet_Food,0,default,test,SASRec__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4,log\SASRec\SASRec__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4.txt,emb_size=64;l2=0;lr=0.001;num_heads=4;num_layers=1,0.4058,0.5172,0.289,0.7033,0.2271,0.2552,0.1892,0.2919
SASRec,MovieLens_1M,0,default,dev,SASRec__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4,log\SASRec\SASRec__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4.txt,emb_size=64;l2=0;lr=0.001;num_heads=4;num_layers=1,0.7131,0.8552,0.5524,0.969,0.4477,0.484,0.3954,0.507
SASRec,MovieLens_1M,0,default,test,SASRec__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4,log\SASRec\SASRec__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4.txt,emb_size=64;l2=0;lr=0.001;num_heads=4;num_layers=1,0.6878,0.8273,0.5287,0.9579,0.4264,0.4618,0.375,0.4881
FuXiAlpha,Grocery_and_Gourmet_Food,0,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ffn=0__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ffn=0__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0.txt,attn_dropout=0.0;emb_size=64;ff_hidden_size=256;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1;time_bucket_max=1000000;time_buckets=32,0.4364,0.5494,0.3122,,0.25,0.2786,0.2097,
FuXiAlpha,Grocery_and_Gourmet_Food,0,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ffn=0__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ffn=0__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0.txt,attn_dropout=0.0;emb_size=64;ff_hidden_size=256;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1;time_bucket_max=1000000;time_buckets=32,0.3895,0.505,0.2712,,0.2179,0.2471,0.1797,
FuXiAlpha,Grocery_and_Gourmet_Food,1,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food__1__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ff__5c8ab3b40e,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food__1__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ff__5c8ab3b40e.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.4966,0.6124,0.385,,0.3077,0.3369,0.2715,
