dataset,model,appendix,split,lr,attn_dropout,n,HR@10_mean,HR@10_std,NDCG@10_mean,NDCG@10_std
MovieLens_1M,FuXiAlpha,_ml1m_fuxi_sweep_s0_e30_small12_ss0,dev,0.0005,0.0,1,0.816,0.0007937253933193527,0.5630666666666667,0.0022120880030715917
MovieLens_1M,FuXiAlpha,_ml1m_fuxi_sweep_s0_e30_small12_ss0,test,0.0005,0.0,1,0.7813,0.002971531591620691,0.5341333333333333,0.0014640127503997987
MovieLens_1M,FuXiAlpha,_ml1m_fuxi_sweep_s0_e30_small12_ss0,dev,0.0005,0.1,1,0.8162333333333334,0.0007505553499464851,0.5647000000000001,0.004331281565541515
MovieLens_1M,FuXiAlpha,_ml1m_fuxi_sweep_s0_e30_small12_ss0,test,0.0005,0.1,1,0.7802333333333333,0.006068223243531291,0.5353666666666667,0.005689756878227214
MovieLens_1M,FuXiAlpha,_ml1m_fuxi_sweep_s0_e30_small12_ss0,dev,0.001,0.0,3,0.7354714285714286,0.12595179917049903,0.4831714285714286,0.12152480836281557
MovieLens_1M,FuXiAlpha,_ml1m_fuxi_sweep_s0_e30_small12_ss0,test,0.001,0.0,3,0.7043285714285714,0.12147093910733979,0.4578857142857143,0.11380347722530902
MovieLens_1M,FuXiAlpha,_ml1m_fuxi_sweep_s0_e30_small12_ss0,dev,0.001,0.1,1,0.8150666666666666,0.0037447741364912243,0.5653666666666667,0.0034530180036213493
MovieLens_1M,FuXiAlpha,_ml1m_fuxi_sweep_s0_e30_small12_ss0,test,0.001,0.1,1,0.7824,0.003774917217635349,0.5358,0.0015874507866387474
