model,dataset,variant,split,n,HR@10_mean,NDCG@10_mean,HR@20_mean,NDCG@20_mean,HR@10_std,NDCG@10_std,HR@20_std,NDCG@20_std
FuXiAlpha,MovieLens_100K_fuxi_sweep_e10s0_20251218,pos1_time1_latent1_ssffn0,dev,1,0.54225,0.29645,0.7178666666666667,0.34099999999999997,0.08650042196428867,0.04820110994572635,0.06863429657734291,0.04381794153083872
FuXiAlpha,MovieLens_100K_fuxi_sweep_e10s0_20251218,pos1_time1_latent1_ssffn0,test,1,0.48933333333333334,0.27243333333333336,0.6701833333333332,0.3183166666666667,0.07383307298674942,0.04638317223591618,0.07234709162548737,0.046117693639932456
FuXiAlpha,MovieLens_100K_fuxi_sweep_pathfix_test,pos1_time1_latent1_ssffn0,dev,1,0.323,0.1638,0.5107,0.2109,0.0,0.0,0.0,0.0
FuXiAlpha,MovieLens_100K_fuxi_sweep_pathfix_test,pos1_time1_latent1_ssffn0,test,1,0.3092,0.1656,0.4819,0.209,0.0,0.0,0.0,0.0
FuXiAlpha,MovieLens_1M,pos1_time1_latent1_ssffn0,dev,3,0.677975,0.424875,0.8233,0.461675,0.1463939291774082,0.13750360904354475,0.0907126966489991,0.12349311384310732
FuXiAlpha,MovieLens_1M,pos1_time1_latent1_ssffn0,test,3,0.64805,0.40345,0.7929999999999999,0.4401,0.14009171995517797,0.1289991860439437,0.09437838735642816,0.11768256738645136
FuXiAlpha,MovieLens_1M_ep50,pos1_time1_latent1_ssffn0,dev,3,0.8153,0.5663666666666667,0.9051666666666667,0.5891666666666667,0.0013892443989449554,0.0032868424564212353,0.0009291573243177621,0.0030892285984260416
FuXiAlpha,MovieLens_1M_ep50,pos1_time1_latent1_ssffn0,test,3,0.7835666666666666,0.5377666666666667,0.8818333333333334,0.5627666666666666,0.0030138568866708597,0.001193035344544878,0.0015567059238447464,0.000808290376865497
FuXiAlpha,MovieLens_1M_ep50_abla,pos0_time1_latent1_ssffn0,dev,3,0.8176,0.5693666666666667,0.9056333333333333,0.5918,0.001708800749063539,0.0026388128644019722,0.0030022213997860565,0.0015874507866387685
FuXiAlpha,MovieLens_1M_ep50_abla,pos0_time1_latent1_ssffn0,test,3,0.7840666666666666,0.5365666666666667,0.8817333333333334,0.5613,0.003061590000854695,0.00475429630264392,0.0008962886439832155,0.004881598098983602
FuXiAlpha,MovieLens_1M_ep50_abla,pos1_time0_latent1_ssffn0,dev,3,0.8129,0.5652333333333334,0.9042666666666666,0.5884,0.0024637369989509916,0.004100406483915139,0.0022052966542697333,0.003984971769034265
FuXiAlpha,MovieLens_1M_ep50_abla,pos1_time0_latent1_ssffn0,test,3,0.7818999999999999,0.5333333333333333,0.8800333333333333,0.5583333333333332,0.006355312738174299,0.0076774561759305185,0.002928025500799707,0.006715901527965797
FuXiAlpha,MovieLens_1M_ep50_abla,pos1_time1_latent1_ssffn0,dev,3,0.8153,0.5663666666666667,0.9051666666666667,0.5891666666666667,0.0013892443989449554,0.0032868424564212353,0.0009291573243177621,0.0030892285984260416
FuXiAlpha,MovieLens_1M_ep50_abla,pos1_time1_latent1_ssffn0,test,3,0.7835666666666666,0.5377666666666667,0.8818333333333334,0.5627666666666666,0.0030138568866708597,0.001193035344544878,0.0015567059238447464,0.000808290376865497
FuXiAlpha,MovieLens_1M_ep50_abla,pos1_time1_latent1_ssffn0_noams,dev,3,0.8126666666666668,0.5648666666666666,0.9037666666666667,0.5880666666666666,0.002236813209307665,0.003412232895529435,0.0013203534880225816,0.003442867022313406
FuXiAlpha,MovieLens_1M_ep50_abla,pos1_time1_latent1_ssffn0_noams,test,3,0.7813333333333333,0.5352666666666667,0.8800333333333333,0.5603333333333333,0.003494757979221657,0.004110150037812925,0.0033291640592397133,0.0038759944960400964
FuXiAlpha,MovieLens_1M_ep50_abla,pos1_time1_latent1_ssffn1,dev,3,0.8047333333333334,0.5488666666666666,0.8994666666666666,0.5729333333333333,0.0034847285881877544,0.0028676354952003793,0.0022722969289539307,0.003043572462310281
FuXiAlpha,MovieLens_1M_ep50_abla,pos1_time1_latent1_ssffn1,test,3,0.7693666666666666,0.5176333333333334,0.8759666666666667,0.5447666666666667,0.005573448962117949,0.0021962088546705655,0.0015011106998929725,0.00215483951451924
FuXiAlpha,MovieLens_1M_ep50_h50_full_vs_wotime,pos1_time0_latent1_ssffn0,dev,3,0.8170666666666667,0.5681666666666666,0.9048333333333334,0.5905333333333332,0.0018929694486001123,0.004067349669420289,0.003494757979221596,0.0038682468035705145
FuXiAlpha,MovieLens_1M_ep50_h50_full_vs_wotime,pos1_time0_latent1_ssffn0,test,3,0.7846000000000001,0.5369666666666667,0.8860666666666667,0.5627666666666666,0.0029546573405388613,0.004006661120351131,0.0020033305601755303,0.0037018013633004655
FuXiAlpha,MovieLens_1M_ep50_h50_full_vs_wotime,pos1_time1_latent1_ssffn0,dev,3,0.8198,0.5698333333333333,0.9083333333333333,0.5924333333333334,0.005370288632839006,0.004532475409015856,0.0018903262505010662,0.0034961884007206085
FuXiAlpha,MovieLens_1M_ep50_h50_full_vs_wotime,pos1_time1_latent1_ssffn0,test,3,0.7893,0.5396,0.8864000000000001,0.5642666666666667,0.0033867388443752466,0.004911211663123438,0.00036055512754642083,0.004050102879351765
FuXiAlpha,MovieLens_1M_ml1m_fuxi_sweep_big_s0_e30,pos1_time1_latent1_ssffn0,dev,1,0.7454,0.4674,0.8745,0.5004,0.0,0.0,0.0,0.0
FuXiAlpha,MovieLens_1M_ml1m_fuxi_sweep_big_s0_e30,pos1_time1_latent1_ssffn0,test,1,0.7043,0.4389,0.8406,0.4736,0.0,0.0,0.0,0.0
FuXiAlpha,MovieLens_1M_ml1m_fuxi_sweep_s0_e30_small12_ss0,pos1_time1_latent1_ssffn0,dev,1,0.8148583333333334,0.5635083333333334,0.905825,0.5866166666666667,0.002977325930591022,0.005005716429213388,0.0018111397717258924,0.004631676180652544
FuXiAlpha,MovieLens_1M_ml1m_fuxi_sweep_s0_e30_small12_ss0,pos1_time1_latent1_ssffn0,test,1,0.780825,0.5339416666666666,0.88035,0.5592916666666666,0.004554343581082276,0.00481389245892144,0.0035973475076657648,0.004672834128008248
GRU4Rec,Grocery_and_Gourmet_Food,default,dev,3,0.436375,0.2494,0.566325,0.28225,0.0620978998571342,0.055314012691179776,0.04208423101352808,0.05006292706850716
GRU4Rec,Grocery_and_Gourmet_Food,default,test,3,0.39092499999999997,0.21537499999999998,0.519975,0.24814999999999998,0.05790125934151461,0.049179831570810933,0.0428317152742373,0.04525258740300567
GRU4Rec,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,default,dev,3,0.4902333333333333,0.3088666666666667,0.6065333333333333,0.33816666666666667,0.0007094598884597654,0.01045099676266974,0.005968528573554254,0.011948779575058417
GRU4Rec,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,default,test,3,0.4454666666666667,0.2679666666666667,0.5665666666666667,0.2985,0.0030664855018951815,0.009675915116066967,0.008457146879020959,0.010897247358851694
GRU4Rec,MovieLens_100K,default,dev,3,0.6276,0.3555,0.7921,0.3973333333333333,0.01560096150883017,0.007873372847769877,0.0031999999999999806,0.0032654759734736007
GRU4Rec,MovieLens_100K,default,test,3,0.5757333333333333,0.32880000000000004,0.7487333333333334,0.3725333333333333,0.0018475208614067912,0.0011532562594670922,0.006864643714959547,0.0006806859285554139
GRU4Rec,MovieLens_1M,default,dev,3,0.6606000000000001,0.402,0.8159,0.4414,0.12874911002928652,0.11455048377607721,0.08441749423747028,0.10334831074252418
GRU4Rec,MovieLens_1M,default,test,3,0.6293500000000001,0.381775,0.7863249999999999,0.42157500000000003,0.12084076298997781,0.1087098086650878,0.08341344316115963,0.09937505974840971
GRU4Rec,MovieLens_1M_ep50,default,dev,3,0.8064,0.5529000000000001,0.9036,0.5776666666666667,0.0026627053911389077,0.006413267497929634,0.0015099668870541527,0.00621798466814879
GRU4Rec,MovieLens_1M_ep50,default,test,3,0.7686666666666667,0.5210333333333333,0.8754333333333334,0.5482,0.002318045153428519,0.0026102362600602586,0.002581343319539883,0.0029866369046136435
SASRec,Grocery_and_Gourmet_Food,default,dev,3,0.478925,0.302875,0.58985,0.3308,0.032018471231462634,0.046061073587140795,0.031705046916855335,0.045975645726841076
SASRec,Grocery_and_Gourmet_Food,default,test,3,0.432875,0.26305,0.543675,0.29095,0.03131744721397324,0.04154359156356127,0.030575303214631686,0.04130121063600921
SASRec,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,default,dev,3,0.5054333333333333,0.3414333333333333,0.6150333333333333,0.3690333333333333,0.005488472768752064,0.002138535324312714,0.0044601943156473865,0.001604161255402118
SASRec,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,default,test,3,0.4601,0.30006666666666665,0.5718666666666666,0.32816666666666666,0.003966106403010406,0.0008326663997864458,0.003550117368951821,0.0008020806277010602
